Id, Latitude, Longitude, X, Y
419038488,44.54505,48.50627,4958732.28336091,6159475.33577384
419038491,44.5193214,48.5062865,4955868.18871009,6159478.09992304
419038492,44.5759504,48.5061864,4962172.10015422,6159461.33076513
419038493,44.542563,48.5061963,4958455.43178731,6159462.98925179
419038495,44.5300375,48.5061998,4957061.09950538,6159463.57558554
419038498,44.5144369,48.5064181,4955324.44865731,6159500.14613938
419038500,44.5146327,48.5062605,4955346.2450136,6159473.74429441
419038501,44.5748231,48.5062462,4962046.60969225,6159471.34869962
419038503,44.5783372,48.5062483,4962437.79751484,6159471.70050021
419038505,44.50564,48.5062728,4954345.18222875,6159475.80484152
419038507,44.54482,48.50642,4958706.67987803,6159500.46443624
419038509,44.5237315,48.5063383,4956359.11879643,6159486.77768218
419038510,44.5514662,48.5062579,4959446.53147774,6159473.30873167
419038511,44.5474881,48.5059216,4959003.69141141,6159416.97055599
419038513,44.5540638,48.5061366,4959735.69498702,6159452.9880796
419038517,44.5163975,48.506364,4955542.70165096,6159491.0830602
419038518,44.5613248,48.5070142,4960543.98580967,6159600.00817942
419038519,44.5577341,48.5070441,4960144.27091408,6159605.01722747
419038520,44.5080384,48.5072407,4954612.17089547,6159637.95304894
419038521,44.6075719,48.506918,4965692.18943234,6159583.89213192
419038523,44.5120573,48.5067841,4955059.55279702,6159561.46038731
419038524,44.5099739,48.5070906,4954827.6297699,6159612.8072245
419038529,44.507563,48.5068938,4954559.24960954,6159579.83799592
